,연도,시설번호,시설명,주소,사용여부,면적,이용가능인원수,선풍기보유대수,에어컨보유대수,야간개방,휴일개방,숙박가능여부,위도,경도,도
668,2021,8,새마을금고 종암(본점),서울특별시 성북구 종암로21길 25,Y,50,5,2,1,N,N,N,37.5997458,127.0335965,서울특별시
669,2021,8,새마을금고 새종암(본점),서울특별시 성북구 종암로 98-7,Y,50,5,2,1,N,N,N,37.5991301,127.0349666,서울특별시
670,2021,8,새서울신용협동조합(지점),서울특별시 성북구 오패산로 98,Y,50,7,2,1,N,N,N,37.6108845,127.0356513,서울특별시
671,2021,8,새마을금고 월곡(본점),서울특별시 성북구 화랑로11길 36,Y,50,5,2,1,N,N,N,37.6037416,127.0424039,서울특별시
672,2021,8,국민은행 월곡역지점,서울특별시 성북구 화랑로 91,Y,50,5,2,1,N,N,N,37.6029433,127.0420953,서울특별시
673,2021,8,새서울신용협동조합(본점),서울특별시 성북구 화랑로 95,Y,50,5,2,1,N,N,N,37.6033067,127.0424937,서울특별시
674,2021,8,장위신용협동조합,서울특별시 성북구 장위로 60,Y,50,5,2,1,N,N,N,37.6137844,127.043213,서울특별시
675,2021,8,새마을금고 장위1동(본점),서울특별시 성북구 장월로 119,Y,50,5,2,1,N,N,N,37.6164329,127.0488115,서울특별시
676,2021,8,새마을금고 장위1동(장위로지점),서울특별시 성북구 장위로 131,Y,50,5,2,1,N,N,N,37.6137191,127.0511942,서울특별시
677,2021,8,새마을금고 장위3동(본점),서울특별시 성북구 장위로 179-1,Y,50,5,2,1,N,N,N,37.6161377,127.0553994,서울특별시
678,2021,8,SC제일은행 석관동지점,서울특별시 성북구 돌곶이로 48,Y,50,5,2,1,N,N,N,37.6084552,127.0597678,서울특별시
679,2021,8,새마을금고 석관동(본점),서울특별시 성북구 돌곶이로 39,Y,50,5,2,1,N,N,N,37.6076035,127.0600629,서울특별시
680,2021,8,강북신용협동조합,서울특별시 성북구 돌곶이로 59,Y,50,5,2,1,N,N,N,37.6089416,127.0587156,서울특별시
681,2021,8,하나은행 성북동지점,서울특별시 성북구 성북로 122,Y,50,5,2,1,N,N,N,37.593994,126.9961154,서울특별시
682,2021,8,새마을금고 성북(본점),서울특별시 성북구 성북로 102-11,Y,50,5,2,1,N,N,N,37.5942791,126.9977426,서울특별시
683,2021,8,새마을금고 동소문(본점),서울특별시 성북구 보문로30나길 8-11,Y,50,5,3,1,N,N,N,37.5898325,127.0209927,서울특별시
684,2021,8,우리은행 동소문로지점,서울특별시 성북구 동소문로26라길 28,Y,50,5,2,1,N,N,N,37.5950977,127.0210269,서울특별시
685,2021,8,새마을금고 삼선(제1지점),서울특별시 성북구 삼선교로 40-1,Y,50,5,2,1,N,N,N,37.5881539,127.0101993,서울특별시
686,2021,8,새마을금고 삼선(삼선지점),서울특별시 성북구 보문로29길 101,Y,50,5,2,1,N,N,N,37.5857457,127.0133483,서울특별시
687,2021,8,새마을금고 삼선(제2지점),서울특별시 성북구 보문로38길 11,Y,50,5,2,1,N,N,N,37.5915422,127.0141637,서울특별시
688,2021,8,새마을금고 삼선(제5지점),서울특별시 성북구 동소문로 120,Y,50,5,2,1,N,N,N,37.5934911,127.0184119,서울특별시
689,2021,8,국민은행 돈암동지점,서울특별시 성북구 동소문로 114,Y,50,5,2,1,N,N,N,37.5930247,127.0176486,서울특별시
690,2021,8,새마을금고 삼선(본점),서울특별시 성북구 아리랑로 16,Y,50,5,2,1,N,N,N,37.5942534,127.0164414,서울특별시
691,2021,8,새마을금고 안암(본점),서울특별시 성북구 고려대로 23-1,Y,50,5,,1,N,N,N,37.5863668,127.0218018,서울특별시
692,2021,8,새마을금고 안암(제1지점),서울특별시 성북구 안암로 27,Y,50,5,,1,N,N,N,37.5802356,127.0253923,서울특별시
693,2021,8,새마을금고 삼선(제3지점),서울특별시 성북구 지봉로 179-1,Y,50,5,2,1,N,N,N,37.5852604,127.0186495,서울특별시
694,2021,8,새마을금고 삼선(제4지점),서울특별시 성북구 보문로13길 20,Y,50,5,2,1,N,N,N,37.5800881,127.0209465,서울특별시
695,2021,8,정릉 새마을금고,서울특별시 성북구 정릉로 302,Y,105,10,0,2,N,N,N,37.6028061,127.0168226,서울특별시
696,2021,8,성북신협,서울특별시 성북구 정릉로36길 3,Y,100,10,,2,N,N,N,37.6022002,127.0185962,서울특별시
697,2021,99,석관지구대,서울특별시 성북구 화랑로32가길 20,Y,50,5,2,1,N,N,N,37.6089607,127.0552463,서울특별시
698,2021,99,석관치안센터,서울특별시 성북구 한천로76길 11,Y,50,5,2,1,N,N,N,37.6112771,127.0633174,서울특별시
699,2021,99,장위119안전센터,서울특별시 성북구 한천로 640,Y,50,5,2,1,N,N,N,37.6156026,127.0581614,서울특별시
700,2021,8,우리은행구로본동지점,서울특별시 구로구 가마산로 203,Y,200,20,0,8,N,N,N,37.493404,126.8837451,서울특별시
701,2021,8,영등포농협(신도림지점),서울특별시 구로구 경인로 619-3,Y,221,100,0,1,N,N,N,37.5066504,126.8841144,서울특별시
702,2021,8,구로2동 새마을금고,서울특별시 구로구 구로동로28길 17,Y,75,20,0,4,N,N,N,37.490902,126.885087,서울특별시
703,2021,8,구로3동 새마을금고,서울특별시 구로구 도림로 36,Y,43,10,1,2,N,N,N,37.4872692,126.888616,서울특별시
704,2021,8,동구로새마을금고,서울특별시 구로구 구로중앙로 26,Y,33,20,0,2,N,N,N,37.4923805,126.8914611,서울특별시
705,2021,8,구로5동새마을금고,서울특별시 구로구 구로중앙로32가길 22,Y,60,10,0,1,N,N,N,37.5001124,126.885051,서울특별시
706,2021,8,신도림동새마을금고,서울특별시 구로구 신도림로13길 3,Y,159,80,0,1,N,N,N,37.5083572,126.8803328,서울특별시
707,2021,8,영등포농협구일지점,서울특별시 구로구 구일로10길 27,Y,130,20,0,1,N,N,N,37.495827,126.872241,서울특별시
708,2021,8,가리봉새마을금고,서울특별시 구로구 남부순환로105길 224,Y,125,10,3,2,N,N,N,37.4848984,126.8828664,서울특별시
709,2021,8,고척1동새마을금고회관(양지지점),서울특별시 구로구 경서로 47,Y,50,10,0,1,N,N,N,37.5014392,126.8585012,서울특별시
710,2021,8,고척1동새마을금고,서울특별시 구로구 경인로47길 102,Y,50,30,0,1,N,N,N,37.5032305,126.8640248,서울특별시
711,2021,8,고척2동새마을금고1,서울특별시 구로구 고척로 229,Y,180,50,0,2,N,N,N,37.5062366,126.8584372,서울특별시
712,2021,8,고척2동새마을금고2,서울특별시 구로구 경인로33길 88,Y,85,30,0,2,N,N,N,37.5017121,126.8506855,서울특별시
713,2021,8,오류동하나은행,서울특별시 구로구 경인로 218,Y,50,20,0,2,N,N,N,37.496205,126.845146,서울특별시
714,2021,8,오류동신협,서울특별시 구로구 경인로25길 12,Y,30,12,0,2,N,N,N,37.4969909,126.8444305,서울특별시
715,2021,8,오류1동 새마을금고,서울특별시 구로구 경인로 205,Y,88,15,0,4,N,N,N,37.49617,126.8436855,서울특별시
716,2021,8,오류동신한은행,서울특별시 구로구 경인로 212,Y,50,20,0,2,N,N,N,37.4960231,126.8445155,서울특별시
717,2021,8,오류동경서농협,서울특별시 구로구 고척로6길 66,Y,60,25,0,2,N,N,N,37.495968,126.8422897,서울특별시
718,2021,8,오류2동새마을금고,서울특별시 구로구 오류로8길 6,Y,204,20,0,1,N,N,N,37.4907466,126.8409229,서울특별시
719,2021,8,경서농협천왕역지점,서울특별시 구로구 오류로 54-3,Y,100,10,0,1,N,N,N,37.489763,126.8402246,서울특별시
720,2021,8,우리은행 오류동,서울특별시 구로구 오류로8길 57,Y,250,20,0,1,N,N,N,37.492361,126.8433846,서울특별시
721,2021,8,새마을금고 금강지점,서울특별시 구로구 오리로 1197,Y,60,10,0,1,N,N,N,37.4882212,126.8323456,서울특별시
722,2021,8,새마을금고 응골지점,서울특별시 구로구 오류로8길 90,Y,181,20,0,1,N,N,N,37.4929769,126.8450001,서울특별시
723,2021,8,새마을금고개봉1동지점,서울특별시 구로구 고척로19길 30,Y,75,5,0,2,N,N,N,37.5025751,126.8450846,서울특별시
724,2021,8,신한은행개봉지점,서울특별시 구로구 경인로 323,Y,150,20,0,1,N,N,N,37.4976105,126.8561529,서울특별시
725,2021,8,수궁동새마을금고온수연립지점,서울특별시 구로구 부일로9길 87,Y,50,15,0,2,N,N,N,37.4951427,126.834232,서울특별시
726,2021,8,수궁동 새마을금고,서울특별시 구로구 부일로15길 10,Y,45,20,0,1,N,N,N,37.4936983,126.8342325,서울특별시
